strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
scalp_fixed,BTC-USDT-SWAP,long,2026-09-25T01:45:00+00:00,2026-09-25T06:00:00+00:00,84480.0189,84118.81955,0.1000235503,8449.991417,83572.54286,90.76897559,1.465082474,5767.587538,9.275119916,8.431920272,0,-45.40356126,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.147% < 0.200%; engel Bollinger(20) orta bandı 84389.3; stop 1.02% (83572.5), hedef 86168.6 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9992 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,BNB-USDT-SWAP,short,2026-09-25T03:30:00+00:00,2026-09-25T07:45:00+00:00,770.71445,770.88525,8.181836994,6305.859999,781.7857143,90.58327971,1.892248175,3332.469854,6.937214601,6.306559955,0,-8.33467236,signal,"Açılış aralığı kırılımı: ilk 4 bar [776.3, 779.6], kapanış 771 altta (10. bar); hacim 152728 ≥ 1.5× SMA20(42705.2); engel ölçülü hareket 773 (aralık genişliği 3.3); stop 1.40% (781.786), hedef 749.429 (2.00R), zaman stop'u 16 bar | arm=opening_range_breakout | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9990 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,ETHFI-USDT-SWAP,long,2026-09-25T06:15:00+00:00,2026-09-25T10:30:00+00:00,0.6759378,0.69755105,4097.860551,2769.898845,0.6539,90.30783124,1,2769.898845,3.095601176,2.814205733,-0.1394092159,85.33307416,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.058% < 0.200%; engel Bollinger(20) orta bandı 0.672405; stop 3.18% (0.6539), hedef 0.7184 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,ADA-USDT-SWAP,short,2026-09-25T06:30:00+00:00,2026-09-25T10:45:00+00:00,0.2472763,0.2527263,11539.60015,2853.469629,0.2551071429,90.36479542,1,2853.469629,3.173406543,2.884900038,0.2875668358,-65.77666053,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.190% < 0.200%; engel Bollinger(20) orta bandı 0.248025; stop 3.07% (0.255107), hedef 0.232286 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,BTC-USDT-SWAP,short,2026-09-25T08:15:00+00:00,2026-09-25T11:00:00+00:00,84036.86055,85183.52677,0.08892164351,7472.695756,85055.94286,90.61847363,2.182438717,3424.011725,8.276045226,15.08318833,0,-110.2394902,stop,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.111% < 0.200%; engel Bollinger(20) orta bandı 84081.7; stop 1.16% (85055.9), hedef 82124.5 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9988 oranında kırpıldı
scalp_fixed,BTC-USDT-SWAP,long,2026-09-25T12:00:00+00:00,2026-09-25T14:00:00+00:00,84582.27,83206.94,0.0672445181,5687.693986,83248.56429,89.68439805,1.715872131,3314.753986,6.205597513,5.641430574,0,-98.68900036,stop,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.181% < 0.200%; engel Bollinger(20) orta bandı 84459; stop 1.53% (83248.6), hedef 87123.2 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9991 oranında kırpıldı
scalp_fixed,BNB-USDT-SWAP,long,2026-09-25T11:00:00+00:00,2026-09-25T15:15:00+00:00,776.68815,775.51205,8.29937758,6446.028219,765.8357143,90.06846166,1.142442,5642.324267,7.085262547,6.44114694,0,-16.84616052,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.010% < 0.200%; engel Bollinger(20) orta bandı 774.645; stop 1.35% (765.836), hedef 797.229 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9994 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,BTC-USDT-SWAP,short,2026-09-25T14:45:00+00:00,2026-09-25T19:00:00+00:00,83595.1815,83966.06205,0.04191515447,3503.904946,85700.97143,88.26451014,1.089093929,3217.26607,3.862845474,3.511674695,0.1199384992,-19.28842252,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.125% < 0.200%; engel Bollinger(20) orta bandı 84356.3; stop 2.47% (85701), hedef 79508.8 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9994 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,ETH-USDT-SWAP,long,2026-09-25T19:45:00+00:00,2026-09-25T20:30:00+00:00,2691.92529,2691.23371,2.052561483,5525.342165,2649.037143,88.03055889,1.728427065,3196.745918,6.07709565,5.524633436,0,-7.496606121,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.026% < 0.200%; engel Bollinger(20) orta bandı 2688.79; stop 1.54% (2649.04), hedef 2773.67 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9991 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,ETH-USDT-SWAP,short,2026-09-25T16:15:00+00:00,2026-09-25T20:45:00+00:00,2690.654,2692.735695,1.031057801,2774.219796,2776.296429,88.30229405,1,2774.219796,3.052822267,2.775293127,0,-5.199170135,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.022% < 0.200%; engel Bollinger(20) orta bandı 2699.72; stop 3.13% (2776.3), hedef 2523.41 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
